ts,step,kv_cache_usage,running,waiting,preemptions_total
1790007756,mixed-c1-w1-n1-d131072,0.0,0.0,0.0,0.0
1790007761,mixed-c1-w1-n1-d131072,0.0,0.0,0.0,0.0
1790007767,mixed-c1-w1-n1-d131072,0.02692307692307694,1.0,0.0,0.0
1790007772,mixed-c1-w1-n1-d131072,0.02692307692307694,1.0,0.0,0.0
1790007777,mixed-c1-w1-n1-d131072,0.02692307692307694,1.0,0.0,0.0
1790007782,mixed-c1-w1-n1-d131072,0.02692307692307694,1.0,0.0,0.0
1790007787,mixed-c1-w1-n1-d131072,0.06730769230769229,2.0,0.0,0.0
1790007792,mixed-c1-w1-n1-d131072,0.10384615384615381,3.0,0.0,0.0
1790007797,mixed-c1-w1-n1-d131072,0.08461538461538465,2.0,0.0,0.0
1790007802,mixed-c1-w1-n1-d131072,0.09423076923076923,2.0,0.0,0.0
1790007807,mixed-c1-w1-n1-d131072,0.10384615384615381,2.0,0.0,0.0
1790007812,mixed-c1-w1-n1-d131072,0.1134615384615385,2.0,0.0,0.0
1790007817,mixed-c1-w1-n1-d131072,0.12115384615384617,2.0,0.0,0.0
1790007822,mixed-c1-w1-n1-d131072,0.13076923076923075,2.0,0.0,0.0
1790007827,mixed-c1-w1-n1-d131072,0.14038461538461533,2.0,0.0,0.0
1790007832,mixed-c1-w1-n1-d131072,0.1480769230769231,2.0,0.0,0.0
1790007837,mixed-c1-w1-n1-d131072,0.1826923076923077,3.0,0.0,0.0
1790007842,mixed-c1-w1-n1-d131072,0.16538461538461535,2.0,0.0,0.0
1790007847,mixed-c1-w1-n1-d131072,0.17307692307692313,2.0,0.0,0.0
1790007852,mixed-c1-w1-n1-d131072,0.20769230769230773,3.0,0.0,0.0
1790007857,mixed-c1-w1-n1-d131072,0.18846153846153846,2.0,0.0,0.0
1790007862,mixed-c1-w1-n1-d131072,0.19615384615384612,2.0,0.0,0.0
1790007867,mixed-c1-w1-n1-d131072,0.23076923076923073,3.0,0.0,0.0
1790007872,mixed-c1-w1-n1-d131072,0.21153846153846156,2.0,0.0,0.0
1790007877,mixed-c1-w1-n1-d131072,0.02692307692307694,1.0,0.0,0.0
1790007882,mixed-c1-w1-n1-d131072,0.02692307692307694,1.0,0.0,0.0
1790007887,mixed-c1-w1-n1-d131072,0.02692307692307694,1.0,0.0,0.0
1790007892,mixed-c1-w1-n1-d131072,0.02692307692307694,1.0,0.0,0.0
1790007897,mixed-c1-w1-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790007902,mixed-c1-w1-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790007907,mixed-c1-w1-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790007913,mixed-c1-w1-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790007918,mixed-c1-w1-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790007923,mixed-c1-w1-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790007928,mixed-c1-w1-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790007933,mixed-c1-w1-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790007938,mixed-c1-w1-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790007943,mixed-c1-w1-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790007948,mixed-c1-w1-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790007953,mixed-c1-w1-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790007958,mixed-c1-w1-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790007963,mixed-c1-w1-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790007968,mixed-c1-w1-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790007973,mixed-c1-w1-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790007978,mixed-c1-w1-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790007983,mixed-c1-w1-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790007988,mixed-c1-w1-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790007993,mixed-c1-w1-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790007998,mixed-c1-w1-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790008003,mixed-c1-w1-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008008,mixed-c1-w1-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008013,mixed-c1-w1-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008018,mixed-c1-w1-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008023,mixed-c1-w1-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008028,mixed-c1-w1-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008033,mixed-c1-w1-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008038,mixed-c1-w1-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008043,mixed-c1-w1-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008048,mixed-c1-w1-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008054,mixed-c1-w1-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008059,mixed-c1-w1-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008064,mixed-c1-w1-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008069,mixed-c1-w1-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008074,mixed-c1-w1-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008079,mixed-c1-w1-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008084,mixed-c1-w1-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008089,mixed-c1-w1-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008094,mixed-c1-w1-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008099,mixed-c1-w1-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008104,mixed-c1-w1-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008109,mixed-c1-w1-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008114,mixed-c1-w1-n1-d131072,0.03653846153846152,1.0,0.0,0.0
1790008119,mixed-c1-w1-n1-d131072,0.03653846153846152,1.0,0.0,0.0
