ts,step,kv_cache_usage,running,waiting,preemptions_total
1790010268,mixed-c2-w1-n1-d131072,0.0,0.0,0.0,0.0
1790010273,mixed-c2-w1-n1-d131072,0.04139433551198257,1.0,0.0,0.0
1790010278,mixed-c2-w1-n1-d131072,0.030501089324618702,1.0,0.0,0.0
1790010283,mixed-c2-w1-n1-d131072,0.030501089324618702,1.0,0.0,0.0
1790010288,mixed-c2-w1-n1-d131072,0.030501089324618702,1.0,0.0,0.0
1790010293,mixed-c2-w1-n1-d131072,0.030501089324618702,1.0,0.0,0.0
1790010298,mixed-c2-w1-n1-d131072,0.0631808278867102,2.0,0.0,0.0
1790010303,mixed-c2-w1-n1-d131072,0.06971677559912859,2.0,0.0,0.0
1790010309,mixed-c2-w1-n1-d131072,0.07625272331154687,2.0,0.0,0.0
1790010314,mixed-c2-w1-n1-d131072,0.08278867102396514,2.0,0.0,0.0
1790010319,mixed-c2-w1-n1-d131072,0.08932461873638342,2.0,0.0,0.0
1790010324,mixed-c2-w1-n1-d131072,0.0958605664488017,2.0,0.0,0.0
1790010329,mixed-c2-w1-n1-d131072,0.10239651416122009,2.0,0.0,0.0
1790010334,mixed-c2-w1-n1-d131072,0.10893246187363836,2.0,0.0,0.0
1790010339,mixed-c2-w1-n1-d131072,0.11546840958605664,2.0,0.0,0.0
1790010344,mixed-c2-w1-n1-d131072,0.12200435729847492,2.0,0.0,0.0
1790010349,mixed-c2-w1-n1-d131072,0.1285403050108932,2.0,0.0,0.0
1790010354,mixed-c2-w1-n1-d131072,0.14379084967320266,2.0,0.0,0.0
1790010359,mixed-c2-w1-n1-d131072,0.15032679738562094,2.0,0.0,0.0
1790010364,mixed-c2-w1-n1-d131072,0.1568627450980392,2.0,0.0,0.0
1790010369,mixed-c2-w1-n1-d131072,0.15468409586056642,2.0,0.0,0.0
1790010374,mixed-c2-w1-n1-d131072,0.159041394335512,2.0,0.0,0.0
1790010379,mixed-c2-w1-n1-d131072,0.196078431372549,3.0,0.0,0.0
1790010384,mixed-c2-w1-n1-d131072,0.17211328976034856,2.0,0.0,0.0
1790010389,mixed-c2-w1-n1-d131072,0.18736383442265792,2.0,0.0,0.0
1790010394,mixed-c2-w1-n1-d131072,0.18518518518518523,2.0,0.0,0.0
1790010399,mixed-c2-w1-n1-d131072,0.1895424836601307,2.0,0.0,0.0
1790010404,mixed-c2-w1-n1-d131072,0.2287581699346405,3.0,0.0,0.0
1790010409,mixed-c2-w1-n1-d131072,0.21350762527233114,2.0,0.0,0.0
1790010414,mixed-c2-w1-n1-d131072,0.2200435729847494,2.0,0.0,0.0
1790010419,mixed-c2-w1-n1-d131072,0.21568627450980393,2.0,0.0,0.0
1790010424,mixed-c2-w1-n1-d131072,0.2222222222222222,2.0,0.0,0.0
1790010429,mixed-c2-w1-n1-d131072,0.2679738562091504,3.0,0.0,0.0
1790010434,mixed-c2-w1-n1-d131072,0.23529411764705888,2.0,0.0,0.0
1790010439,mixed-c2-w1-n1-d131072,0.0326797385620915,1.0,0.0,0.0
1790010444,mixed-c2-w1-n1-d131072,0.0326797385620915,1.0,0.0,0.0
1790010449,mixed-c2-w1-n1-d131072,0.0326797385620915,1.0,0.0,0.0
1790010454,mixed-c2-w1-n1-d131072,0.0326797385620915,1.0,0.0,0.0
1790010459,mixed-c2-w1-n1-d131072,0.0326797385620915,1.0,0.0,0.0
1790010465,mixed-c2-w1-n1-d131072,0.0326797385620915,1.0,0.0,0.0
1790010470,mixed-c2-w1-n1-d131072,0.0326797385620915,1.0,0.0,0.0
1790010475,mixed-c2-w1-n1-d131072,0.0326797385620915,1.0,0.0,0.0
1790010480,mixed-c2-w1-n1-d131072,0.0326797385620915,1.0,0.0,0.0
1790010485,mixed-c2-w1-n1-d131072,0.034858387799564294,1.0,0.0,0.0
