ts,step,kv_cache_usage,running,waiting,preemptions_total
1790009000,mixed-c1-w2p-n3-d100000,0.0,0.0,0.0,0.0
1790009005,mixed-c1-w2p-n3-d100000,0.02692307692307694,1.0,0.0,0.0
1790009010,mixed-c1-w2p-n3-d100000,0.02692307692307694,1.0,0.0,0.0
1790009015,mixed-c1-w2p-n3-d100000,0.02692307692307694,1.0,0.0,0.0
1790009020,mixed-c1-w2p-n3-d100000,0.02692307692307694,1.0,0.0,0.0
1790009025,mixed-c1-w2p-n3-d100000,0.06730769230769229,2.0,0.0,0.0
1790009030,mixed-c1-w2p-n3-d100000,0.07692307692307687,2.0,0.0,0.0
1790009035,mixed-c1-w2p-n3-d100000,0.1134615384615385,3.0,0.0,0.0
1790009040,mixed-c1-w2p-n3-d100000,0.09423076923076923,2.0,0.0,0.0
1790009045,mixed-c1-w2p-n3-d100000,0.1019230769230769,2.0,0.0,0.0
1790009050,mixed-c1-w2p-n3-d100000,0.1384615384615384,3.0,0.0,0.0
1790009055,mixed-c1-w2p-n3-d100000,0.11923076923076925,2.0,0.0,0.0
1790009060,mixed-c1-w2p-n3-d100000,0.12884615384615383,2.0,0.0,0.0
1790009065,mixed-c1-w2p-n3-d100000,0.16346153846153844,3.0,0.0,0.0
1790009070,mixed-c1-w2p-n3-d100000,0.17884615384615388,3.0,0.0,0.0
1790009075,mixed-c1-w2p-n3-d100000,0.18846153846153846,3.0,0.0,0.0
1790009080,mixed-c1-w2p-n3-d100000,0.22307692307692306,4.0,0.0,0.0
1790009086,mixed-c1-w2p-n3-d100000,0.23269230769230764,4.0,0.0,0.0
1790009091,mixed-c1-w2p-n3-d100000,0.2153846153846154,3.0,0.0,0.0
1790009096,mixed-c1-w2p-n3-d100000,0.22499999999999998,3.0,0.0,0.0
1790009101,mixed-c1-w2p-n3-d100000,0.2615384615384615,4.0,0.0,0.0
1790009106,mixed-c1-w2p-n3-d100000,0.2692307692307693,4.0,0.0,0.0
1790009111,mixed-c1-w2p-n3-d100000,0.24423076923076925,3.0,0.0,0.0
1790009116,mixed-c1-w2p-n3-d100000,0.1461538461538462,3.0,0.0,0.0
1790009121,mixed-c1-w2p-n3-d100000,0.1807692307692308,4.0,0.0,0.0
1790009126,mixed-c1-w2p-n3-d100000,0.19038461538461537,4.0,0.0,0.0
1790009131,mixed-c1-w2p-n3-d100000,0.17307692307692313,3.0,0.0,0.0
1790009136,mixed-c1-w2p-n3-d100000,0.18461538461538463,3.0,0.0,0.0
1790009141,mixed-c1-w2p-n3-d100000,0.21923076923076923,4.0,0.0,0.0
1790009146,mixed-c1-w2p-n3-d100000,0.20192307692307687,3.0,0.0,0.0
1790009151,mixed-c1-w2p-n3-d100000,0.21153846153846156,3.0,0.0,0.0
1790009156,mixed-c1-w2p-n3-d100000,0.22115384615384615,3.0,0.0,0.0
1790009161,mixed-c1-w2p-n3-d100000,0.25769230769230766,4.0,0.0,0.0
1790009166,mixed-c1-w2p-n3-d100000,0.2384615384615385,3.0,0.0,0.0
1790009171,mixed-c1-w2p-n3-d100000,0.24807692307692308,3.0,0.0,0.0
1790009176,mixed-c1-w2p-n3-d100000,0.2846153846153846,4.0,0.0,0.0
1790009181,mixed-c1-w2p-n3-d100000,0.2942307692307692,4.0,0.0,0.0
1790009186,mixed-c1-w2p-n3-d100000,0.275,3.0,0.0,0.0
1790009191,mixed-c1-w2p-n3-d100000,0.2846153846153846,3.0,0.0,0.0
