ts,step,kv_cache_usage,running,waiting,preemptions_total
1790010646,mixed-c2-w2-n3-d100000,0.0,0.0,0.0,0.0
1790010651,mixed-c2-w2-n3-d100000,0.030501089324618702,1.0,0.0,0.0
1790010656,mixed-c2-w2-n3-d100000,0.030501089324618702,1.0,0.0,0.0
1790010661,mixed-c2-w2-n3-d100000,0.030501089324618702,1.0,0.0,0.0
1790010666,mixed-c2-w2-n3-d100000,0.030501089324618702,1.0,0.0,0.0
1790010671,mixed-c2-w2-n3-d100000,0.0631808278867102,2.0,0.0,0.0
1790010676,mixed-c2-w2-n3-d100000,0.08061002178649235,2.0,0.0,0.0
1790010681,mixed-c2-w2-n3-d100000,0.07843137254901966,2.0,0.0,0.0
1790010686,mixed-c2-w2-n3-d100000,0.08496732026143794,2.0,0.0,0.0
1790010691,mixed-c2-w2-n3-d100000,0.12200435729847492,3.0,0.0,0.0
1790010696,mixed-c2-w2-n3-d100000,0.0980392156862745,2.0,0.0,0.0
1790010701,mixed-c2-w2-n3-d100000,0.10457516339869277,2.0,0.0,0.0
1790010706,mixed-c2-w2-n3-d100000,0.11111111111111116,2.0,0.0,0.0
1790010711,mixed-c2-w2-n3-d100000,0.11764705882352944,2.0,0.0,0.0
1790010716,mixed-c2-w2-n3-d100000,0.20479302832244006,4.0,0.0,0.0
1790010721,mixed-c2-w2-n3-d100000,0.18300653594771243,3.0,0.0,0.0
1790010726,mixed-c2-w2-n3-d100000,0.1917211328976035,3.0,0.0,0.0
1790010731,mixed-c2-w2-n3-d100000,0.1917211328976035,3.0,0.0,0.0
1790010736,mixed-c2-w2-n3-d100000,0.20043572984749458,3.0,0.0,0.0
1790010741,mixed-c2-w2-n3-d100000,0.20043572984749458,3.0,0.0,0.0
1790010746,mixed-c2-w2-n3-d100000,0.21786492374727673,3.0,0.0,0.0
1790010751,mixed-c2-w2-n3-d100000,0.21786492374727673,3.0,0.0,0.0
1790010757,mixed-c2-w2-n3-d100000,0.2657952069716776,4.0,0.0,0.0
1790010762,mixed-c2-w2-n3-d100000,0.27668845315904145,4.0,0.0,0.0
1790010767,mixed-c2-w2-n3-d100000,0.27450980392156865,4.0,0.0,0.0
1790010772,mixed-c2-w2-n3-d100000,0.31154684095860563,5.0,0.0,0.0
1790010777,mixed-c2-w2-n3-d100000,0.31154684095860563,4.0,0.0,0.0
1790010782,mixed-c2-w2-n3-d100000,0.30283224400871456,4.0,0.0,0.0
1790010787,mixed-c2-w2-n3-d100000,0.3616557734204793,5.0,0.0,0.0
1790010792,mixed-c2-w2-n3-d100000,0.3202614379084967,4.0,0.0,0.0
1790010797,mixed-c2-w2-n3-d100000,0.3507625272331155,4.0,0.0,0.0
1790010802,mixed-c2-w2-n3-d100000,0.37037037037037035,5.0,0.0,0.0
1790010807,mixed-c2-w2-n3-d100000,0.3790849673202614,4.0,0.0,0.0
1790010812,mixed-c2-w2-n3-d100000,0.21786492374727673,3.0,0.0,0.0
1790010817,mixed-c2-w2-n3-d100000,0.2265795206971678,3.0,0.0,0.0
1790010822,mixed-c2-w2-n3-d100000,0.24618736383442263,3.0,0.0,0.0
1790010827,mixed-c2-w2-n3-d100000,0.27668845315904145,4.0,0.0,0.0
1790010832,mixed-c2-w2-n3-d100000,0.2549019607843137,3.0,0.0,0.0
1790010837,mixed-c2-w2-n3-d100000,0.2636165577342048,3.0,0.0,0.0
1790010842,mixed-c2-w2-n3-d100000,0.27233115468409586,3.0,0.0,0.0
1790010847,mixed-c2-w2-n3-d100000,0.2636165577342048,3.0,0.0,0.0
1790010852,mixed-c2-w2-n3-d100000,0.30283224400871456,4.0,0.0,0.0
1790010857,mixed-c2-w2-n3-d100000,0.27668845315904145,3.0,0.0,0.0
1790010862,mixed-c2-w2-n3-d100000,0.2854030501089324,3.0,0.0,0.0
1790010867,mixed-c2-w2-n3-d100000,0.3246187363834423,4.0,0.0,0.0
1790010872,mixed-c2-w2-n3-d100000,0.30283224400871456,3.0,0.0,0.0
1790010877,mixed-c2-w2-n3-d100000,0.31154684095860563,3.0,0.0,0.0
1790010882,mixed-c2-w2-n3-d100000,0.1568627450980392,2.0,0.0,0.0
1790010887,mixed-c2-w2-n3-d100000,0.1633986928104575,2.0,0.0,0.0
1790010892,mixed-c2-w2-n3-d100000,0.20915032679738566,3.0,0.0,0.0
1790010897,mixed-c2-w2-n3-d100000,0.17647058823529416,2.0,0.0,0.0
1790010903,mixed-c2-w2-n3-d100000,0.18082788671023964,2.0,0.0,0.0
1790010908,mixed-c2-w2-n3-d100000,0.18736383442265792,2.0,0.0,0.0
1790010913,mixed-c2-w2-n3-d100000,0.1938997821350763,2.0,0.0,0.0
1790010918,mixed-c2-w2-n3-d100000,0.0326797385620915,1.0,0.0,0.0
1790010923,mixed-c2-w2-n3-d100000,0.0326797385620915,1.0,0.0,0.0
